From	Entry	Entry Name	Protein names	Gene Names	Organism	Length	Taxonomic lineage	Taxonomic lineage (Ids)
UniRef100_A0A2M8J1J6	A0A2M8J1J6	A0A2M8J1J6_9RHOB	Agmatinase	CVM52_11235	Pseudooceanicola lipolyticus	427	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Pseudooceanicola (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 1679449 (genus)
UniRef100_A0A2M8W613	A0A2M8W613	A0A2M8W613_9RHOB	Agmatinase	BC777_2700	Yoonia maricola	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Yoonia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 2211641 (genus)
UniRef100_A0A2M9G3G5	A0A2M9G3G5	A0A2M9G3G5_9PROT	Agmatinase	CVT23_07680	Minwuia thermotolerans	423	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Minwuiales (order), Minwuiaceae (family), Minwuia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 2493627 (order), 2493628 (family), 2493629 (genus)
UniRef100_A0A2N6K6H0	A0A2N6K6H0	A0A2N6K6H0_FISMU	Agmatinase	CEN44_05835	Fischerella muscicola CCMEE 5323	397	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Hapalosiphonaceae (family), Fischerella (genus), Fischerella muscicola (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1161 (order), 1892263 (family), 1190 (genus), 92938 (species)
UniRef100_A0A2P9AE15	A0A2P9AE15	A0A2P9AE15_9HYPH	Putative agmatinase 2 (EC 3.5.3.11)	speB BQ8482_111294	Mesorhizobium delmotii	402	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Phyllobacteriaceae (family), Mesorhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 69277 (family), 68287 (genus)
UniRef100_A0A2R8BVD7	A0A2R8BVD7	A0A2R8BVD7_9RHOB	Proclavaminate amidinohydrolase (EC 3.5.3.22)	pah PAA8504_01908	Palleronia abyssalis	424	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Palleronia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 315422 (genus)
UniRef100_A0A2S3UQL3	A0A2S3UQL3	A0A2S3UQL3_9HYPH	Agmatinase	CLV41_10726	Roseibium marinum	412	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Stappiaceae (family), Roseibium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 2821832 (family), 150830 (genus)
UniRef100_A0A2T1CAV0	A0A2T1CAV0	A0A2T1CAV0_9CYAN	Agmatinase	C7B64_00375	Merismopedia glauca CCAP 1448/3	394	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Synechococcales (order), Merismopediaceae (family), Merismopedia (genus), Merismopedia glauca (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1890424 (order), 1890428 (family), 53402 (genus), 292586 (species)
UniRef100_A0A2T1M1Y1	A0A2T1M1Y1	A0A2T1M1Y1_9CHRO	Agmatinase	C7H19_04170	Aphanothece hegewaldii CCALA 016	397	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Chroococcales (order), Aphanothecaceae (family), Aphanothece (genus), Aphanothece hegewaldii (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1301283 (subclass), 1118 (order), 1890450 (family), 1121 (genus), 1521625 (species)
UniRef100_A0A2T6KPE1	A0A2T6KPE1	A0A2T6KPE1_9RHOB	Agmatinase	C8N45_10114	Yoonia sediminilitoris	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Yoonia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 2211641 (genus)
UniRef100_A0A2U1FA04	A0A2U1FA04	A0A2U1FA04_9PSEU	Agmatinase	C8D89_107185	Actinomycetospora cinnamomea	379	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Actinomycetospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 402649 (genus)
UniRef100_A0A2U2N9G3	A0A2U2N9G3	A0A2U2N9G3_9GAMM	Agmatinase	DEM34_00125	Sediminicurvatus halobius	400	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Gammaproteobacteria (class), Chromatiales (order), Ectothiorhodospiraceae (family), Sediminicurvatus (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 1236 (class), 135613 (order), 72276 (family), 3383961 (genus)
UniRef100_A0A2U3D794	A0A2U3D794	A0A2U3D794_SULT2	Agmatinase	BM613_09790	Sulfoacidibacillus thermotolerans (Acidibacillus sulfuroxidans)	381	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Alicyclobacillaceae (family), Sulfoacidibacillus (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 91061 (class), 1385 (order), 186823 (family), 3025858 (genus)
UniRef100_A0A2U3N5U4	A0A2U3N5U4	A0A2U3N5U4_9MYCO	Arginase family enzyme	MTAB308_373	Mycobacterium terramassiliense	387	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus)
UniRef100_A0A2U3NYV8	A0A2U3NYV8	A0A2U3NYV8_9MYCO	Arginase family enzyme	MRAB57_4523	Mycobacterium rhizamassiliense	387	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus)
UniRef100_A0A2V2LL67	A0A2V2LL67	A0A2V2LL67_9RHOB	Agmatinase	DKT77_11445	Meridianimarinicoccus roseus	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Meridianimarinicoccus (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 2917831 (genus)
UniRef100_A0A2W2DRU9	A0A2W2DRU9	A0A2W2DRU9_9ACTN	Agmatinase	C1J01_30305	Nonomuraea aridisoli	391	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)
UniRef100_A0A2W7N9C4	A0A2W7N9C4	A0A2W7N9C4_9RHOB	Agmatinase	LX81_03249	Palleronia aestuarii	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Palleronia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 315422 (genus)
UniRef100_A0A2W7RFH7	A0A2W7RFH7	A0A2W7RFH7_9RHOB	Agmatinase	LY56_03420	Roseinatronobacter thiooxidans	418	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Roseinatronobacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 121820 (genus)
UniRef100_A0A316A5U4	A0A316A5U4	A0A316A5U4_9ACTN	Agmatinase	BXY45_11572	Quadrisphaera granulorum	421	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Kineosporiales (order), Kineosporiaceae (family), Quadrisphaera (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 622452 (order), 83778 (family), 317661 (genus)
UniRef100_A0A316GVS2	A0A316GVS2	A0A316GVS2_9RHOB	Agmatinase	C7455_109100	Roseicyclus mahoneyensis	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Roseobacteraceae (family), Roseicyclus (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 2854170 (family), 336277 (genus)
UniRef100_A0A328VJ47	A0A328VJ47	A0A328VJ47_9CHLR	Agmatinase	A4R35_01995	Thermogemmatispora tikiterensis	381	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Chloroflexota (phylum), Ktedonobacteria (class), Thermogemmatisporales (order), Thermogemmatisporaceae (family), Thermogemmatispora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 200795 (phylum), 388447 (class), 768667 (order), 768668 (family), 768669 (genus)
UniRef100_A0A328VL69	A0A328VL69	A0A328VL69_9CHLR	Agmatinase	A4R35_05315	Thermogemmatispora tikiterensis	366	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Chloroflexota (phylum), Ktedonobacteria (class), Thermogemmatisporales (order), Thermogemmatisporaceae (family), Thermogemmatispora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 200795 (phylum), 388447 (class), 768667 (order), 768668 (family), 768669 (genus)
UniRef100_A0A365H4X9	A0A365H4X9	A0A365H4X9_9ACTN	Agmatinase	DPM19_16335	Actinomadura craniellae	370	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)
UniRef100_A0A366LS30	A0A366LS30	A0A366LS30_9ACTN	Agmatinase	DP939_29165	Spongiactinospora rosea	391	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Spongiactinospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 2871671 (genus)
UniRef100_A0A367QMW7	A0A367QMW7	A0A367QMW7_9NOSO	Agmatinase	A6770_28115	Nostoc minutum NIES-26	397	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Nostocaceae (family), Nostoc (genus), Nostoc minutum (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1161 (order), 1162 (family), 1177 (genus), 1841509 (species)
UniRef100_A0A375YFS9	A0A375YFS9	A0A375YFS9_MYCPF	Arginase/agmatinase/formiminoglutamase [Thermincola potens JR]	MPP7335_01657	Mycolicibacterium parafortuitum (Mycobacterium parafortuitum)	382	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus)
UniRef100_A0A399J7F4	A0A399J7F4	A0A399J7F4_9RHOB	Agmatinase	DL237_04290	Pseudooceanicola sediminis	413	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Pseudooceanicola (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 1679449 (genus)
UniRef100_A0A3A8AF40	A0A3A8AF40	A0A3A8AF40_9HYPH	Agmatinase	DEM25_007930	Oceaniradius stylonematis	420	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Ahrensiaceae (family), Oceaniradius (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 2829814 (family), 2679892 (genus)
UniRef100_A0A3D9SWI0	A0A3D9SWI0	A0A3D9SWI0_9ACTN	Agmatinase	DFJ69_2822	Thermomonospora umbrina	403	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Thermomonospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 2019 (genus)
UniRef100_A0A3D9ZZ05	A0A3D9ZZ05	A0A3D9ZZ05_9ACTN	Agmatinase	DFJ67_8420	Asanoa ferruginea	389	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micromonosporales (order), Micromonosporaceae (family), Asanoa (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85008 (order), 28056 (family), 195964 (genus)
UniRef100_A0A3M2JG78	A0A3M2JG78	A0A3M2JG78_9CELL	Agmatinase	EBM89_10715	Cellulomonas triticagri	424	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Micrococcales (order), Cellulomonadaceae (family), Cellulomonas (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85006 (order), 85016 (family), 1707 (genus)
UniRef100_A0A3N2QRI4	A0A3N2QRI4	A0A3N2QRI4_9RHOB	Agmatinase	EAT49_18485	Histidinibacterium lentulum	420	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Histidinibacterium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 2590586 (genus)
UniRef100_A0A3P3G4B6	A0A3P3G4B6	A0A3P3G4B6_9HYPH	Agmatinase	EH240_06795	Mesorhizobium tamadayense	402	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Phyllobacteriaceae (family), Mesorhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 69277 (family), 68287 (genus)
UniRef100_A0A3Q8XTQ4	A0A3Q8XTQ4	A0A3Q8XTQ4_9HYPH	Agmatinase	D5400_12870	Georhizobium profundi	394	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Rhizobiaceae (family), Georhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 82115 (family), 2661800 (genus)
UniRef100_A0A418SGW4	A0A418SGW4	A0A418SGW4_9RHOB	Agmatinase (EC 3.5.3.11)	speB_1 PSAL_000310	Pseudooceanicola algae	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Pseudooceanicola (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 1679449 (genus)
UniRef100_A0A433NKC8	A0A433NKC8	A0A433NKC8_CHLFR	Agmatinase	PCC6912_25360	Chlorogloeopsis fritschii PCC 6912	396	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Nostocales (order), Chlorogloeopsidaceae (family), Chlorogloeopsis (genus), Chlorogloeopsis fritschii (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1161 (order), 1892261 (family), 1123 (genus), 1124 (species)
UniRef100_A0A438MBA3	A0A438MBA3	A0A438MBA3_9ACTN	Agmatinase	EDD27_5676	Nonomuraea polychroma	379	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)
UniRef100_A0A448IGG8	A0A448IGG8	A0A448IGG8_MYCAU	Arginase/agmatinase/formiminoglutamase (EC 3.5.3.22)	pah NCTC10437_00675	Mycolicibacterium aurum (Mycobacterium aurum)	385	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus)
UniRef100_A0A498PZ76	A0A498PZ76	A0A498PZ76_9MYCO	Guanidinobutyrase (EC 3.5.3.7)	gbuA LAUMK136_02835	Mycobacterium attenuatum	387	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycobacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1763 (genus)
UniRef100_A0A4Q0MKR1	A0A4Q0MKR1	A0A4Q0MKR1_9HYPH	Agmatinase	EK403_05535	Hansschlegelia zhihuaiae	401	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Methylopilaceae (family), Hansschlegelia (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 3149309 (family), 444599 (genus)
UniRef100_A0A4Q0VUU2	A0A4Q0VUU2	A0A4Q0VUU2_9BACI	Agmatinase	DS745_06695	Anaerobacillus alkaliphilus	385	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Bacillota (phylum), Bacilli (class), Bacillales (order), Bacillaceae (family), Anaerobacillus (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1239 (phylum), 91061 (class), 1385 (order), 186817 (family), 704093 (genus)
UniRef100_A0A4Q7EB19	A0A4Q7EB19	A0A4Q7EB19_9CYAN	Agmatinase (EC 3.5.3.11)	speB DYY88_13630	Leptolyngbya iicbica LK	390	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Leptolyngbyales (order), Leptolyngbyaceae (family), Leptolyngbya group (no rank), Leptolyngbya (genus), Leptolyngbya iicbica (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 3079749 (order), 1890438 (family), 3081713 (no rank), 47251 (genus), 3161580 (species)
UniRef100_A0A4R1I8R0	A0A4R1I8R0	A0A4R1I8R0_ANCAQ	Agmatinase	EV667_0672	Ancylobacter aquaticus	407	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Xanthobacteraceae (family), Ancylobacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 335928 (family), 99 (genus)
UniRef100_A0A4R4XJI2	A0A4R4XJI2	A0A4R4XJI2_9ACTN	Agmatinase	E1286_45470	Nonomuraea terrae	380	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Nonomuraea (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 83681 (genus)
UniRef100_A0A4R6RL20	A0A4R6RL20	A0A4R6RL20_9HYPH	Agmatinase	EDD54_1097	Oharaeibacter diazotrophicus	401	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Pleomorphomonadaceae (family), Oharaeibacter (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 2843308 (family), 1920508 (genus)
UniRef100_A0A4R6VFA2	A0A4R6VFA2	A0A4R6VFA2_9PSEU	Agmatinase	EV188_105193	Actinomycetospora succinea	376	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Actinomycetospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 402649 (genus)
UniRef100_A0A4U3MEL7	A0A4U3MEL7	A0A4U3MEL7_9ACTN	Agmatinase	FDA94_19405	Herbidospora galbida	375	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Streptosporangiaceae (family), Herbidospora (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2004 (family), 28443 (genus)
UniRef100_A0A4V3BCC2	A0A4V3BCC2	A0A4V3BCC2_9RHOB	Agmatinase	E2L05_05865	Meridianimarinicoccus aquatilis	414	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodobacterales (order), Paracoccaceae (family), Meridianimarinicoccus (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204455 (order), 31989 (family), 2917831 (genus)
UniRef100_A0A4Y8RNW0	A0A4Y8RNW0	A0A4Y8RNW0_9HYPH	Agmatinase	E3C22_08005	Jiella endophytica	406	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Aurantimonadaceae (family), Jiella (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 255475 (family), 1775688 (genus)
UniRef100_A0A502DWZ8	A0A502DWZ8	A0A502DWZ8_9MYCO	Agmatinase	EAH80_25230	Mycolicibacterium hodleri	413	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Mycobacteriales (order), Mycobacteriaceae (family), Mycolicibacterium (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85007 (order), 1762 (family), 1866885 (genus)
UniRef100_A0A545TFB2	A0A545TFB2	A0A545TFB2_9PROT	Agmatinase	FKG95_23535	Denitrobaculum tricleocarpae	400	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Rhodospirillales (order), Rhodospirillaceae (family), Denitrobaculum (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 204441 (order), 41295 (family), 2752546 (genus)
UniRef100_A0A561SNW2	A0A561SNW2	A0A561SNW2_9PSEU	Agmatinase	FHX44_112444	Pseudonocardia hierapolitana	385	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Pseudonocardiales (order), Pseudonocardiaceae (family), Pseudonocardia (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85010 (order), 2070 (family), 1847 (genus)
UniRef100_A0A562PCP5	A0A562PCP5	A0A562PCP5_9HYPH	Agmatinase	IQ26_00636	Mesorhizobium tianshanense	402	cellular organisms (no rank), Bacteria (domain), Pseudomonadati (kingdom), Pseudomonadota (phylum), Alphaproteobacteria (class), Hyphomicrobiales (order), Phyllobacteriaceae (family), Mesorhizobium (genus)	131567 (no rank), 2 (domain), 3379134 (kingdom), 1224 (phylum), 28211 (class), 356 (order), 69277 (family), 68287 (genus)
UniRef100_A0A563VJY2	A0A563VJY2	A0A563VJY2_9CYAN	Putative agmatinase 2 (EC 3.5.3.11)	speB H1P_1190011	Hyella patelloides LEGE 07179	392	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Pleurocapsales (order), Pleurocapsaceae (family), Hyella (genus), Hyella patelloides (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 52604 (order), 1890500 (family), 945733 (genus), 1982969 (species)
UniRef100_A0A5B8NJP0	A0A5B8NJP0	A0A5B8NJP0_9CHRO	Agmatinase (EC 3.5.3.11)	speB FRE64_05975	Euhalothece natronophila Z-M001	385	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Cyanobacteriota/Melainabacteria group (clade), Cyanobacteriota (phylum), Cyanophyceae (class), Oscillatoriophycideae (subclass), Chroococcales (order), Halothecacae (family), Halothece cluster (no rank), Euhalothece (genus), Euhalothece natronophila (species)	131567 (no rank), 2 (domain), 1783272 (kingdom), 1798711 (clade), 1117 (phylum), 3028117 (class), 1301283 (subclass), 1118 (order), 3079756 (family), 92682 (no rank), 65097 (genus), 577489 (species)
UniRef100_A0A5D0NVH5	A0A5D0NVH5	A0A5D0NVH5_9ACTN	Agmatinase family protein	FXF69_04890	Actinomadura chibensis	398	cellular organisms (no rank), Bacteria (domain), Bacillati (kingdom), Actinomycetota (phylum), Actinomycetes (class), Streptosporangiales (order), Thermomonosporaceae (family), Actinomadura (genus)	131567 (no rank), 2 (domain), 1783272 (kingdom), 201174 (phylum), 1760 (class), 85012 (order), 2012 (family), 1988 (genus)
